epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1416.22,1.37762,0.71064,1.05727,1,0.88865,0.94421,0.84878,0.90763,0.67988,0.93176,0.000553689,0.000553689,0.000553689
2,2852.16,1.31798,0.68375,1.02149,1,0.88588,0.94283,0.84229,0.93246,0.72827,0.93784,0.00099953,0.00099953,0.00099953
3,4282.08,1.29288,0.67998,1.01016,1,0.8873,0.94353,0.84187,0.92165,0.68968,0.94429,0.00133535,0.00133535,0.00133535
4,5806.86,1.26408,0.66612,0.99726,1,0.8668,0.93331,0.82732,0.98561,0.74101,0.9576,0.0011719,0.0011719,0.0011719
5,7377.14,1.2317,0.64174,0.98811,1,0.88674,0.94333,0.8434,0.92366,0.70463,0.93545,0.00100687,0.00100687,0.00100687
6,9052.89,1.21074,0.62889,0.98574,1,0.88041,0.94012,0.83855,0.92197,0.64344,0.93445,0.000841835,0.000841835,0.000841835
7,10749.8,1.18961,0.61224,0.97619,1,0.8921,0.94594,0.84564,0.90078,0.6591,0.93621,0.000676802,0.000676802,0.000676802
8,1569.57,1.20783,0.7133,0.97916,1,0.88578,0.94278,0.84359,0.91489,0.66453,0.9415,0.000511769,0.000511769,0.000511769
9,3278.92,1.1655,0.59275,0.96846,1,0.88578,0.94284,0.84688,0.88056,0.65402,0.93497,0.000346736,0.000346736,0.000346736
10,4777.82,1.14185,0.57554,0.96115,1,0.89436,0.94705,0.85,0.87006,0.63427,0.92979,0.000181703,0.000181703,0.000181703
