epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,470.203,1.04291,1.8931,0.95002,1,0.8109,0.90542,0.79485,1.12711,2.15263,0.94861,0.000548807,0.000548807,0.000548807
2,936.531,0.97202,0.88949,0.93608,1,0.84565,0.92276,0.8034,1.11043,1.20915,0.98097,0.0010498,0.0010498,0.0010498
3,1416.24,0.93595,0.80604,0.92591,1,0.82,0.90995,0.80782,1.01334,1.0675,0.98981,0.00149579,0.00149579,0.00149579
4,1957.66,0.90875,0.74915,0.91774,1,0.86727,0.93354,0.82948,0.97444,0.91947,0.96217,0.00141945,0.00141945,0.00141945
5,2477.2,0.88826,0.71755,0.90973,1,0.87704,0.93848,0.83603,0.94495,0.84656,0.94942,0.00133693,0.00133693,0.00133693
6,3007.04,0.86399,0.70503,0.91318,1,0.84824,0.92404,0.82108,0.9569,0.93197,0.94682,0.00125442,0.00125442,0.00125442
7,3508.51,0.87755,0.69247,0.91533,1,0.87053,0.93515,0.83062,0.96899,0.89399,0.96148,0.0011719,0.0011719,0.0011719
8,4018.77,0.84061,0.64641,0.90265,1,0.87556,0.93769,0.83615,0.91245,0.85813,0.94569,0.00108938,0.00108938,0.00108938
9,4514.86,0.81824,0.61486,0.90235,1,0.88067,0.94021,0.84116,0.89879,0.78026,0.93677,0.00100687,0.00100687,0.00100687
10,5009.98,0.83631,0.61464,0.89936,1,0.8803,0.94005,0.84162,0.91245,0.75835,0.94602,0.000924352,0.000924352,0.000924352
11,5448.25,0.79929,0.61905,0.87715,1,0.84063,0.92026,0.81004,1.06851,0.88175,0.95949,0.000841835,0.000841835,0.000841835
12,5891.63,0.79061,0.60302,0.87527,1,0.88778,0.94378,0.84745,0.88814,0.76558,0.92867,0.000759318,0.000759318,0.000759318
13,6339.91,0.7718,0.56068,0.86943,1,0.89185,0.94578,0.85088,0.89354,0.72147,0.92677,0.000676802,0.000676802,0.000676802
14,6786.15,0.76781,0.54483,0.8687,1,0.8917,0.94573,0.85377,0.8583,0.71211,0.92266,0.000594286,0.000594286,0.000594286
15,7205.48,0.74692,0.52504,0.8657,1,0.89291,0.94632,0.85378,0.86273,0.68858,0.92427,0.000511769,0.000511769,0.000511769
16,7623.08,0.74602,0.51607,0.86606,1,0.89626,0.94803,0.85517,0.86097,0.69693,0.91892,0.000429253,0.000429253,0.000429253
17,8044.21,0.72707,0.49793,0.86151,1,0.89062,0.94519,0.85594,0.83268,0.67404,0.91526,0.000346736,0.000346736,0.000346736
18,8468.3,0.72969,0.49642,0.8578,1,0.89582,0.94774,0.85839,0.82315,0.6688,0.91037,0.00026422,0.00026422,0.00026422
19,8894.47,0.70971,0.47555,0.85711,1,0.89761,0.94873,0.85936,0.82169,0.67164,0.91062,0.000181703,0.000181703,0.000181703
20,9320.02,0.70901,0.46665,0.85715,1,0.89701,0.94835,0.86115,0.81405,0.65847,0.90841,9.91865e-05,9.91865e-05,9.91865e-05
