epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.952,0.99513,1.80053,0.92635,1,0.78948,0.89468,0.78591,1.13321,2.1199,0.95199,0.000548807,0.000548807,0.000548807
2,1364.08,0.93724,0.90098,0.91021,1,0.82378,0.91183,0.80046,1.08246,1.06178,0.98587,0.00099513,0.00099513,0.00099513
3,1803.08,0.89474,0.80028,0.89923,1,0.87092,0.93536,0.82713,0.98924,0.94808,0.96394,0.00133143,0.00133143,0.00133143
4,2270.77,0.88471,0.75876,0.89929,1,0.84991,0.92493,0.82036,0.98797,0.90182,0.94371,0.0011719,0.0011719,0.0011719
5,2759.67,0.8621,0.72357,0.89301,1,0.87142,0.93559,0.83407,0.95576,0.9121,0.94329,0.00100687,0.00100687,0.00100687
6,3249.56,0.83326,0.67792,0.88402,1,0.87966,0.93971,0.83588,0.93539,0.82692,0.93086,0.000841835,0.000841835,0.000841835
7,3721.55,0.8074,0.63122,0.88031,1,0.87355,0.93669,0.84093,0.89726,0.76703,0.9257,0.000676802,0.000676802,0.000676802
8,4208.69,0.78049,0.61207,0.87358,1,0.87855,0.93919,0.84588,0.88741,0.76651,0.92111,0.000511769,0.000511769,0.000511769
9,4729.03,0.76915,0.57801,0.86968,1,0.89269,0.94627,0.85298,0.85922,0.74103,0.91693,0.000346736,0.000346736,0.000346736
10,5233.42,0.7442,0.55208,0.8618,1,0.8909,0.9453,0.85534,0.83754,0.72252,0.91255,0.000181703,0.000181703,0.000181703
