epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1506.45,1.12157,0.90827,0.99062,1,0.88057,0.94019,0.82524,1.09854,0.85079,1.0033,0.000550749,0.000550749,0.000550749
2,3154.4,1.14673,0.75217,0.98389,1,0.85605,0.92794,0.79507,1.2061,0.94446,1.03843,0.00105165,0.00105165,0.00105165
3,4377.35,1.12867,0.70591,0.97756,1,0.88418,0.94198,0.82319,1.08998,0.82254,0.99075,0.00149754,0.00149754,0.00149754
4,5634.37,1.09626,0.67327,0.96259,1,0.87434,0.93707,0.82221,1.07182,0.84856,0.9936,0.00141945,0.00141945,0.00141945
5,6891.9,1.07389,0.64643,0.95874,1,0.83602,0.91794,0.80453,1.12515,0.8404,0.99322,0.00133693,0.00133693,0.00133693
6,8151.24,1.1037,0.64749,0.96368,1,0.90157,0.95066,0.84256,1.0241,0.71844,0.96642,0.00125442,0.00125442,0.00125442
7,9400.21,1.0502,0.60972,0.94373,1,0.91171,0.95568,0.84145,1.0419,0.70616,0.96784,0.0011719,0.0011719,0.0011719
8,10653.7,1.02403,0.58786,0.94288,1,0.91368,0.95664,0.85137,0.99886,0.70252,0.95538,0.00108938,0.00108938,0.00108938
9,11894.3,1.02405,0.58691,0.94001,1,0.91492,0.95724,0.85328,0.99009,0.70285,0.95964,0.00100687,0.00100687,0.00100687
10,13149,1.02516,0.57616,0.93995,1,0.91474,0.95716,0.85346,0.97774,0.69466,0.95644,0.000924352,0.000924352,0.000924352
11,14415.8,1.02774,0.56717,0.93661,1,0.90528,0.95248,0.85073,0.98117,0.68828,0.95316,0.000841835,0.000841835,0.000841835
12,15671.9,0.99153,0.55514,0.92344,1,0.91256,0.9562,0.85468,0.96079,0.66601,0.95291,0.000759318,0.000759318,0.000759318
13,16943,0.9865,0.5409,0.92202,1,0.91682,0.95826,0.85579,0.95595,0.6585,0.94541,0.000676802,0.000676802,0.000676802
14,18193.3,0.96951,0.53294,0.91931,1,0.90638,0.95304,0.85323,0.96119,0.65749,0.94714,0.000594286,0.000594286,0.000594286
15,19439.7,0.95844,0.51936,0.91251,1,0.91699,0.95834,0.86013,0.93318,0.66442,0.9415,0.000511769,0.000511769,0.000511769
16,20689.6,0.93546,0.4999,0.90419,1,0.91569,0.95779,0.86344,0.91411,0.62987,0.93497,0.000429253,0.000429253,0.000429253
17,21935.1,0.9198,0.48568,0.90049,1,0.92135,0.96047,0.86526,0.91634,0.61806,0.93609,0.000346736,0.000346736,0.000346736
18,23187.4,0.91687,0.47827,0.90269,1,0.92022,0.95988,0.86776,0.89711,0.6177,0.9295,0.00026422,0.00026422,0.00026422
19,24472.4,0.8986,0.46974,0.89512,1,0.92758,0.96354,0.86991,0.90144,0.6041,0.93044,0.000181703,0.000181703,0.000181703
20,25715.8,0.88394,0.45571,0.89001,1,0.92656,0.96304,0.8725,0.87978,0.60168,0.9248,9.91865e-05,9.91865e-05,9.91865e-05
