epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.383,0.76775,0.50366,0.88027,1,0.90547,0.95259,0.85685,0.85192,0.67025,0.92065,0.000548807,0.000548807,0.000548807
2,831.398,0.81748,0.5418,0.89669,1,0.89039,0.94515,0.85168,0.8626,0.70597,0.92689,0.00108625,0.00108625,0.00108625
3,1260.25,0.8167,0.5605,0.89354,1,0.88257,0.94124,0.8396,0.92208,0.74904,0.94912,0.00160536,0.00160536,0.00160536
4,1691.79,0.82872,0.56716,0.89637,1,0.89131,0.94556,0.84204,0.91317,0.72941,0.94197,0.00158448,0.00158448,0.00158448
5,2119.34,0.82834,0.56796,0.89462,1,0.89158,0.94565,0.84049,0.9194,0.80314,0.95054,0.00155698,0.00155698,0.00155698
6,2557.41,0.8126,0.56278,0.8996,1,0.86868,0.9343,0.83274,0.93221,0.78239,0.95198,0.00152947,0.00152947,0.00152947
7,2999.17,0.8196,0.56259,0.90015,1,0.89188,0.94582,0.8451,0.90746,0.74368,0.94988,0.00150197,0.00150197,0.00150197
8,3442.58,0.79831,0.54161,0.89074,1,0.88929,0.94451,0.84349,0.88712,0.77481,0.94749,0.00147446,0.00147446,0.00147446
9,3886.84,0.7784,0.52538,0.89059,1,0.88934,0.94457,0.84462,0.89241,0.70837,0.93645,0.00144696,0.00144696,0.00144696
10,4323.93,0.81598,0.53468,0.89323,1,0.88735,0.94356,0.84457,0.90529,0.70729,0.94315,0.00141945,0.00141945,0.00141945
11,4766.01,0.78782,0.52588,0.88837,1,0.8914,0.94559,0.84972,0.88308,0.68725,0.94027,0.00139195,0.00139195,0.00139195
12,5207.77,0.80605,0.52818,0.89238,1,0.8951,0.94751,0.84897,0.88713,0.72158,0.93533,0.00136444,0.00136444,0.00136444
13,5646.51,0.80041,0.52963,0.89124,1,0.89348,0.9466,0.84759,0.89387,0.67444,0.93892,0.00133693,0.00133693,0.00133693
14,6084.99,0.78846,0.52117,0.89301,1,0.89083,0.94525,0.84627,0.8894,0.70227,0.93905,0.00130943,0.00130943,0.00130943
15,6523.55,0.80413,0.52624,0.89428,1,0.8951,0.94751,0.84996,0.87854,0.72434,0.93629,0.00128192,0.00128192,0.00128192
16,6959.88,0.7962,0.51807,0.89295,1,0.89017,0.94501,0.84836,0.88304,0.67428,0.93008,0.00125442,0.00125442,0.00125442
17,7396.01,0.78923,0.51197,0.88705,1,0.8991,0.94942,0.85251,0.88283,0.6948,0.93122,0.00122691,0.00122691,0.00122691
18,7836.4,0.79241,0.50794,0.8901,1,0.89803,0.94888,0.85321,0.85809,0.67634,0.92797,0.00119941,0.00119941,0.00119941
19,8265.04,0.78863,0.4991,0.8863,1,0.89869,0.94918,0.85325,0.86181,0.67892,0.92505,0.0011719,0.0011719,0.0011719
20,8694.35,0.77331,0.49778,0.88473,1,0.90281,0.95122,0.85732,0.85409,0.68295,0.93307,0.0011444,0.0011444,0.0011444
21,9130.22,0.76322,0.49357,0.88334,1,0.89538,0.94752,0.85212,0.85396,0.67817,0.93216,0.00111689,0.00111689,0.00111689
22,9566.2,0.76834,0.4943,0.8832,1,0.89642,0.94809,0.8552,0.84337,0.67907,0.92647,0.00108938,0.00108938,0.00108938
23,10001.1,0.77622,0.49236,0.88425,1,0.89813,0.94896,0.85644,0.84565,0.68009,0.93001,0.00106188,0.00106188,0.00106188
24,10435.3,0.78327,0.49792,0.88844,1,0.89729,0.94851,0.85337,0.85804,0.66706,0.93074,0.00103437,0.00103437,0.00103437
25,10871.5,0.76054,0.4825,0.88261,1,0.90191,0.95075,0.85646,0.83744,0.67674,0.9285,0.00100687,0.00100687,0.00100687
26,11308.4,0.7588,0.47978,0.88208,1,0.90256,0.95121,0.85461,0.8574,0.67002,0.93434,0.000979362,0.000979362,0.000979362
27,11745.1,0.76267,0.47761,0.87948,1,0.90273,0.95129,0.85639,0.85006,0.65025,0.93135,0.000951857,0.000951857,0.000951857
28,12179.7,0.74088,0.46633,0.87731,1,0.89867,0.94922,0.85589,0.85763,0.66516,0.93074,0.000924352,0.000924352,0.000924352
29,12613.3,0.77128,0.48009,0.88186,1,0.90192,0.95089,0.85942,0.83778,0.64547,0.93038,0.000896846,0.000896846,0.000896846
30,13048.2,0.74261,0.46493,0.8812,1,0.90225,0.95105,0.8576,0.83109,0.64306,0.92427,0.00086934,0.00086934,0.00086934
31,13482.5,0.74324,0.47083,0.87781,1,0.90095,0.95042,0.85678,0.84033,0.67307,0.92969,0.000841835,0.000841835,0.000841835
32,13917.5,0.74755,0.46407,0.87739,1,0.90156,0.95072,0.86141,0.81837,0.63108,0.92033,0.000814329,0.000814329,0.000814329
33,14351.2,0.75468,0.46456,0.87804,1,0.90829,0.95399,0.86013,0.83346,0.63422,0.9231,0.000786824,0.000786824,0.000786824
34,14789.7,0.73981,0.45221,0.87544,1,0.9022,0.95098,0.86091,0.81639,0.63386,0.92449,0.000759318,0.000759318,0.000759318
35,15226.4,0.74313,0.45495,0.87386,1,0.90169,0.95077,0.86218,0.81213,0.64617,0.92217,0.000731813,0.000731813,0.000731813
36,15661.8,0.73804,0.44729,0.87203,1,0.9082,0.95394,0.86566,0.80666,0.62537,0.91869,0.000704307,0.000704307,0.000704307
37,16093.8,0.72963,0.44336,0.87058,1,0.90689,0.95329,0.86189,0.82077,0.64385,0.92048,0.000676802,0.000676802,0.000676802
38,16525.5,0.74207,0.44847,0.8755,1,0.90283,0.95125,0.86193,0.81975,0.6421,0.92202,0.000649297,0.000649297,0.000649297
39,16960.6,0.72522,0.43673,0.86842,1,0.89942,0.94956,0.86076,0.81341,0.63647,0.9191,0.000621791,0.000621791,0.000621791
40,17395.7,0.70871,0.4353,0.87113,1,0.90173,0.95074,0.86124,0.81512,0.61614,0.91877,0.000594286,0.000594286,0.000594286
41,17830.4,0.71394,0.43099,0.86973,1,0.90069,0.95023,0.86247,0.81233,0.63637,0.91938,0.00056678,0.00056678,0.00056678
42,18265.3,0.7278,0.43398,0.86895,1,0.90525,0.95241,0.86453,0.80307,0.62238,0.9178,0.000539275,0.000539275,0.000539275
43,18701.4,0.71245,0.42828,0.86932,1,0.90505,0.95236,0.86518,0.80086,0.61365,0.91787,0.000511769,0.000511769,0.000511769
44,19135.1,0.72224,0.43386,0.87202,1,0.90484,0.9523,0.86375,0.80588,0.62979,0.91525,0.000484263,0.000484263,0.000484263
45,19569.8,0.71687,0.4282,0.86795,1,0.90931,0.95459,0.86372,0.80768,0.62592,0.91816,0.000456758,0.000456758,0.000456758
46,20001.1,0.71367,0.42772,0.86885,1,0.90745,0.95354,0.86568,0.80113,0.61765,0.91502,0.000429253,0.000429253,0.000429253
47,20433.8,0.71426,0.42467,0.86644,1,0.90494,0.95226,0.8648,0.79219,0.60875,0.91348,0.000401747,0.000401747,0.000401747
48,20866.7,0.71209,0.42562,0.86788,1,0.90683,0.95325,0.86744,0.7894,0.60962,0.91236,0.000374242,0.000374242,0.000374242
49,21301.1,0.71839,0.42621,0.86914,1,0.90653,0.95307,0.86612,0.79217,0.61638,0.91406,0.000346736,0.000346736,0.000346736
50,21736.7,0.70423,0.41564,0.86686,1,0.90766,0.95365,0.86585,0.79425,0.61145,0.91297,0.000319231,0.000319231,0.000319231
51,22169,0.67555,0.39786,0.84622,1,0.9018,0.95075,0.86385,0.79593,0.61253,0.91673,0.000291725,0.000291725,0.000291725
52,22594,0.67091,0.38751,0.84318,1,0.90676,0.95318,0.86307,0.8038,0.60749,0.91288,0.00026422,0.00026422,0.00026422
53,23019.3,0.67017,0.38702,0.84365,1,0.90491,0.9524,0.86551,0.79686,0.60514,0.91101,0.000236714,0.000236714,0.000236714
54,23446.9,0.65632,0.37738,0.84297,1,0.90964,0.95469,0.86702,0.79984,0.61922,0.91387,0.000209209,0.000209209,0.000209209
55,23870.3,0.65647,0.378,0.84096,1,0.90631,0.95297,0.86781,0.78802,0.60283,0.9129,0.000181703,0.000181703,0.000181703
56,24297.1,0.66256,0.37675,0.84088,1,0.90386,0.95184,0.86666,0.77991,0.60178,0.91012,0.000154198,0.000154198,0.000154198
57,24723.6,0.65119,0.37186,0.83676,1,0.90667,0.95313,0.86682,0.78695,0.60955,0.91062,0.000126692,0.000126692,0.000126692
58,25148.8,0.65092,0.37043,0.83864,1,0.90678,0.95322,0.86685,0.78515,0.60699,0.91071,9.91865e-05,9.91865e-05,9.91865e-05
59,25578.8,0.65499,0.37078,0.84055,1,0.90272,0.95121,0.8675,0.77935,0.60541,0.9085,7.1681e-05,7.1681e-05,7.1681e-05
60,26005.8,0.64958,0.36758,0.84136,1,0.90498,0.95237,0.8672,0.78103,0.60023,0.9086,4.41755e-05,4.41755e-05,4.41755e-05
